ixfac_id,name,city,ix_id,fac_id,ixfac_created,ixfac_updated
833,Web Werks Mumbai 1,Mumbai,832,1771,2015-07-12T00:00:00Z,2016-03-14T21:29:14Z
1052,TATA Communications Delhi,New Delhi,1323,1622,2016-05-28T10:44:39Z,2016-05-28T10:44:39Z
1053,TATA Communications GK1,New Delhi,1323,1982,2016-05-28T10:44:50Z,2016-05-28T10:44:50Z
1328,Sify Greenfort - Noida,Noida,1323,2411,2017-02-07T15:14:41Z,2017-02-07T15:14:41Z
1344,Sify Rabale - Mumbai,Navi Mumbai,1623,2465,2017-02-10T14:58:32Z,2017-02-10T14:58:32Z
1438,TATA Communications Mumbai,Mumbai,832,554,2017-06-02T10:51:03Z,2017-06-02T10:51:03Z
1443,TATA Communications Chennai,Chennai,1786,552,2017-06-22T12:12:05Z,2017-06-22T12:12:05Z
1592,Equinix MB1 - Mumbai (GPX Mumbai 1),Mumbai,1627,2310,2018-01-02T10:35:06Z,2018-01-02T10:35:06Z
1598,Netmagic Chandivali - MUM-DC05,Mumbai,832,4228,2018-01-17T11:13:26Z,2018-01-17T11:13:26Z
1740,TATA Communications VSB Hyderabad,Hyderabad,1785,5236,2018-05-07T20:03:03Z,2018-05-07T20:03:03Z
1742,Equinix MB1 - Mumbai (GPX Mumbai 1),Mumbai,832,2310,2018-05-10T03:06:10Z,2018-05-10T03:06:10Z
1750,Equinix MB1 - Mumbai (GPX Mumbai 1),Mumbai,1623,2310,2018-05-15T12:38:30Z,2018-05-15T12:38:30Z
1757,Sify Greenfort - Noida,Noida,2210,2411,2018-05-25T03:23:21Z,2018-05-25T03:23:21Z
1758,TATA Communications GK1,New Delhi,2210,1982,2018-05-25T03:23:36Z,2020-09-28T12:58:28Z
1760,TATA Communications Delhi,New Delhi,2210,1622,2018-05-25T11:30:12Z,2018-05-25T11:30:12Z
1802,Fastcom DC Facility - 1,Guntur,2251,5546,2018-07-13T02:29:19Z,2018-07-26T18:34:39Z
1880,Netmagic Chennai,Chennai,2341,4701,2018-10-05T08:25:29Z,2018-10-28T16:11:09Z
1900,TATA Communications Chennai,Chennai,2341,552,2018-10-28T16:10:56Z,2018-10-28T16:10:56Z
1966,Web Werks Mumbai 1,Mumbai,1627,1771,2019-01-11T08:41:46Z,2019-01-11T08:41:46Z
2064,TATA Communications Delhi,New Delhi,2587,1622,2019-05-15T04:39:59Z,2019-05-15T04:39:59Z
2066,TATA Communications Kolkata,Kolkata,2589,3944,2019-05-16T06:30:23Z,2019-05-16T06:30:23Z
2067,Bharti Airtel Santhome,Chennai,2588,2006,2019-05-16T07:26:57Z,2019-05-16T07:26:57Z
2385,Sify ITPL - Bangalore,Bangalore,1689,2467,2020-01-24T07:47:06Z,2020-01-24T07:47:06Z
2386,CtrlS Hyderabad DC1,Hyderabad,598,1256,2020-01-24T07:57:27Z,2020-01-24T07:57:27Z
2387,Netmagic Noida,Noida,198,5554,2020-01-24T09:01:52Z,2023-01-05T06:27:13Z
2389,Sify Tidel-DC- Chennai,Chennai,235,2468,2020-01-24T10:41:08Z,2023-01-05T06:34:25Z
3610,Sify Tidel-DC- Chennai,Chennai,1786,2468,2020-05-14T07:36:42Z,2020-05-14T07:36:42Z
3619,Equinix MB2 - Mumbai (GPX Mumbai 2),Mumbai,1627,7377,2020-05-28T10:26:11Z,2020-05-28T10:26:11Z
3628,Sify Rabale - Mumbai,Navi Mumbai,832,2465,2020-06-09T08:59:57Z,2020-06-09T08:59:57Z
3631,Pi Datacenters Amaravati,Amaravati,2195,6888,2020-06-13T13:38:02Z,2020-06-13T13:38:02Z
3648,TATA Communications GK1,New Delhi,2587,1982,2020-07-04T02:09:29Z,2020-07-04T02:09:29Z
3649,TATA Communications Chennai,Chennai,2588,552,2020-07-04T02:11:14Z,2020-07-04T02:11:14Z
3706,Netmagic Chandivali - MUM-DC05,Mumbai,1627,4228,2020-08-20T12:29:31Z,2020-08-20T12:29:31Z
3746,Equinix MB2 - Mumbai (GPX Mumbai 2),Mumbai,832,7377,2020-10-06T09:38:50Z,2020-10-06T09:38:50Z
3784,Equinix MB1 - Mumbai (GPX Mumbai 1),Mumbai,224,2310,2020-11-27T10:24:49Z,2020-11-27T10:24:49Z
3822,Sify Greenfort - Noida,Noida,2587,2411,2020-12-29T16:55:39Z,2020-12-29T16:55:39Z
3823,Web Werks NCR 2,Noida,2587,7887,2020-12-29T16:55:55Z,2020-12-29T16:55:55Z
3851,CtrlS Mumbai DC1,Mumbai,1627,1259,2021-01-29T06:48:42Z,2021-01-29T06:48:42Z
3853,Netmagic Chandivali - MUM DC06,Mumbai,832,9868,2021-02-01T07:01:38Z,2021-02-01T07:01:38Z
3854,Netmagic Chandivali - MUM DC07,Mumbai,832,9869,2021-02-01T07:01:48Z,2021-02-01T07:01:48Z
3924,Sify Rabale - Mumbai,Navi Mumbai,3463,2465,2021-03-18T07:59:55Z,2021-03-18T07:59:55Z
3928,Web Werks NCR 2,Noida,1323,7887,2021-03-26T03:40:15Z,2021-03-26T03:40:15Z
3938,STT Mumbai 2,Mumbai,832,6789,2021-04-01T12:57:00Z,2021-04-01T12:57:00Z
3939,STT Chennai 1,Chennai,2588,6778,2021-04-01T13:02:26Z,2021-04-01T13:02:26Z
4073,Sify Rabale - Mumbai,Navi Mumbai,1627,2465,2021-04-12T07:50:36Z,2021-04-12T07:50:36Z
4090,CtrlS Mumbai DC1,Mumbai,3463,1259,2021-04-21T08:27:59Z,2021-04-21T08:37:46Z
4092,CtrlS Mumbai DC2,Mumbai,3463,9725,2021-04-21T08:36:38Z,2021-04-21T08:37:54Z
4093,CtrlS Mumbai DC3,Mumbai,3463,9726,2021-04-21T08:36:45Z,2021-04-21T08:38:01Z
4142,YOTTA NM1,"Panvel, Raigad,",1627,10552,2021-05-21T07:25:57Z,2021-05-21T07:25:57Z
4201,STT Kolkata 1,Kolkata,1577,6780,2021-07-15T07:29:26Z,2021-07-15T07:29:26Z
4319,Sify Greenfort - Noida,Noida,3675,2411,2021-11-10T01:47:23Z,2021-11-10T01:47:23Z
4320,"Insta-DC, Bhilai",Bhilai,3675,11403,2021-11-10T01:47:40Z,2021-12-07T13:14:20Z
4325,Extreme Gurgaon,Gurugram,1323,11442,2021-11-18T19:17:54Z,2021-11-18T19:17:54Z
4326,Extreme Janakpuri,New Delhi,1323,11444,2021-11-18T19:35:03Z,2021-11-18T19:35:03Z
4327,Extreme Kalyan,Kalyan,1627,11446,2021-11-18T19:35:32Z,2021-11-18T19:35:32Z
4328,Extreme Thane,Thane,1627,11445,2021-11-18T19:35:42Z,2021-11-18T19:35:42Z
4425,Bharti Airtel Santhome,Chennai,1786,2006,2022-01-26T20:16:44Z,2022-01-26T20:16:44Z
4426,STT Chennai 1,Chennai,1786,6778,2022-01-26T20:17:29Z,2022-01-26T20:17:29Z
4427,Equinix MB1 - Mumbai (GPX Mumbai 1),Mumbai,3708,2310,2022-01-28T10:26:26Z,2022-01-28T10:26:27Z
4440,STT Delhi 2,Delhi,198,6786,2022-02-07T11:56:15Z,2023-01-05T06:25:52Z
4441,STT Chennai 1,Chennai,235,6778,2022-02-07T11:58:11Z,2023-01-05T06:33:52Z
4478,Sify-DLF-Kolkata,Kolkata,3774,7866,2022-03-14T13:22:15Z,2022-03-14T13:22:15Z
4479,STT Kolkata 1,Kolkata,3774,6780,2022-03-14T13:22:31Z,2022-03-14T13:22:31Z
4544,YOTTA NM1,"Panvel, Raigad,",832,10552,2022-04-25T14:06:14Z,2022-04-25T14:06:14Z
4580,STT Bangalore 1,Bangalore,3813,6782,2022-05-23T13:47:14Z,2022-05-23T13:47:14Z
4581,Nxtra Data Bangalore DC 1,Bangalore,3813,2500,2022-05-23T13:47:24Z,2022-05-23T13:47:24Z
4582,Netmagic Bangalore DC02,Bangalore,3813,7988,2022-05-23T13:48:08Z,2022-05-23T13:48:08Z
4583,Sify ITPL - Bangalore,Bangalore,3813,2467,2022-05-23T13:48:18Z,2022-05-23T13:48:18Z
4584,CtrlS Bangalore DC1,Bangalore,3813,3942,2022-05-23T13:48:24Z,2022-05-23T13:48:24Z
4597,BASIS DC Kolkata,Kolkata,1577,12295,2022-06-01T11:34:41Z,2022-06-01T11:34:41Z
4772,NIXI Bhopal,Bhopal,224,12734,2022-09-07T10:22:27Z,2022-09-07T10:22:27Z
4773,NIXI Indore,Indore,224,12733,2022-09-07T10:23:39Z,2022-09-07T10:23:39Z
4787,NIXI Ahmedabad,Ahmedabad,1690,12741,2022-09-08T12:45:53Z,2022-09-08T12:45:53Z
4789,NIXI Guwahati,Guwahati,2812,12742,2022-09-08T12:47:35Z,2022-09-08T12:47:35Z
4792,NIXI Panaji,Panaji,224,12752,2022-09-12T07:41:09Z,2022-09-12T07:41:09Z
4798,CtrlS Noida DC1,Noida,1323,3941,2022-09-14T03:34:23Z,2022-09-14T03:34:23Z
4841,Sify Global Delivery Center (Hyderabad),Nanakaramguda,4007,9123,2022-10-13T13:40:25Z,2022-10-13T13:40:25Z
4842,STT Hyderabad 1,Hyderabad,4007,6781,2022-10-13T13:41:19Z,2022-10-13T13:41:20Z
4937,STT Kolkata 1,Kolkata,1317,6780,2022-12-05T04:19:02Z,2022-12-05T04:19:02Z
4942,NIXI Coimbatore,Coimbatore,224,13107,2022-12-15T04:18:52Z,2022-12-15T04:18:52Z
4945,NIXI Raipur,Raipur,224,13114,2022-12-15T12:41:26Z,2022-12-15T12:41:26Z
4977,Sify Vashi - Mumbai,Navi Mumbai,224,2466,2023-01-05T06:21:39Z,2023-01-05T06:21:39Z
4978,Ishan Technologies Ahmedabad,Ahmedabad,1690,13138,2023-01-05T06:32:25Z,2023-01-05T06:32:25Z
4979,Ishan Technologies Cuttack,Cuttack,224,13151,2023-01-05T06:40:35Z,2023-01-05T06:40:35Z
4980,Ishan Technologies Jabalpur,Jabalpur,224,13150,2023-01-05T06:40:53Z,2023-01-05T06:40:53Z
4981,Ishan Technologies Nagpur,Nagpur,224,13147,2023-01-05T06:41:04Z,2023-01-05T06:41:04Z
4982,Ishan Technologies Raipur,Raipur,224,13149,2023-01-05T06:41:21Z,2023-01-05T06:41:21Z
4983,Ishan Technologies Nashik,Nashik,224,13146,2023-01-05T06:41:32Z,2023-01-05T06:41:32Z
4984,Ishan Technologies Rajkot,Rajkot,224,13133,2023-01-05T06:41:45Z,2023-01-05T06:41:45Z
4985,Ishan Technologies Ahmedabad,Ahmedabad,224,13138,2023-01-05T06:42:00Z,2023-01-05T06:42:00Z
4986,Ishan Technologies Baroda,Baroda,224,12927,2023-01-05T06:42:09Z,2023-01-05T06:42:09Z
4987,Ishan Technologies Surat,Surat,224,13131,2023-01-05T06:42:20Z,2023-01-05T06:42:20Z
5013,TATA Communications GK1,New Delhi,198,1982,2023-01-12T07:52:53Z,2023-01-12T07:52:53Z
5014,CtrlS Lucknow DC1,Lucknow,198,12447,2023-01-12T07:55:34Z,2023-01-12T07:55:34Z
5015,CtrlS Patna DC1,Patna,198,12580,2023-01-12T07:56:00Z,2023-01-12T07:56:00Z
5039,STT Kolkata 1,Kolkata,2589,6780,2023-02-04T04:23:59Z,2023-02-04T04:23:59Z
5042,Equinix MB2 - Mumbai (GPX Mumbai 2),Mumbai,224,7377,2023-02-08T05:44:26Z,2023-02-08T05:44:26Z
5113,Sify Greenfort - Noida,Noida,198,2411,2023-04-06T07:53:03Z,2023-04-06T07:53:03Z
5114,CtrlS Noida DC1,Noida,198,3941,2023-04-06T07:53:33Z,2023-04-06T07:53:34Z
5115,Bharti Airtel Santhome,Chennai,235,2006,2023-04-06T07:55:09Z,2023-04-06T07:55:09Z
5116,STT Hyderabad 1,Hyderabad,598,6781,2023-04-06T07:56:22Z,2023-04-06T07:56:22Z
5117,Nxtra Data Bangalore DC 1,Bangalore,1689,2500,2023-04-06T07:57:56Z,2023-04-06T07:57:56Z
5122,Sify Tidel-DC- Chennai,Chennai,2588,2468,2023-04-10T07:21:51Z,2023-04-10T07:21:51Z
5123,STT Mumbai 2,Mumbai,224,6789,2023-04-18T10:38:57Z,2023-04-18T10:38:57Z
5124,Netmagic Chandivali - MUM-DC05,Mumbai,224,4228,2023-04-18T12:01:45Z,2023-04-18T12:01:45Z
5126,SIFY Chandigarh,Chandigarh,198,13539,2023-04-21T08:38:25Z,2023-04-21T08:38:25Z
5128,SIFY Ludhiana,Ludhiana,198,13542,2023-04-21T08:39:00Z,2023-04-21T08:39:00Z
5129,Sify Bareilly,Bareilly,198,13563,2023-04-21T08:39:32Z,2023-04-21T08:39:32Z
5131,SIFY Ranchi,Ranchi,198,13543,2023-04-21T08:40:23Z,2023-04-21T08:40:23Z
5132,SIFY Visakhapatnam,Vishakhapatam,224,13540,2023-04-21T08:43:18Z,2023-04-21T08:43:18Z
5133,SIFY COCHIN,Cochin,224,13538,2023-04-21T08:43:43Z,2023-04-21T08:43:43Z
5134,SIFY Trivandrum,Thiruvananthapuram,224,13541,2023-04-21T08:44:19Z,2023-04-21T08:44:19Z
5136,SIFY Siliguri,Siliguri,1317,13546,2023-04-21T08:45:58Z,2023-04-21T08:45:59Z
5138,SIFY Tuticorin,Tuticorin,235,13562,2023-04-21T08:47:52Z,2023-04-21T08:47:52Z
5139,SIFY Salem,SALEM,235,13549,2023-04-21T08:48:14Z,2023-04-21T08:48:14Z
5214,SIFY Bhubaneswar,Bhubaneswar,235,13537,2023-05-26T09:40:31Z,2023-05-26T09:40:31Z
5215,Ishan Technologies Cuttack,Cuttack,235,13151,2023-05-26T10:08:16Z,2023-05-26T10:08:16Z
5219,NTT NAV01 Mahape,Navi Mumbai,1627,13647,2023-05-29T08:44:20Z,2023-05-29T08:44:20Z
5235,Equinix MB1 - Mumbai (GPX Mumbai 1),Mumbai,4211,2310,2023-06-14T11:58:30Z,2023-06-14T11:58:30Z
5236,Equinix MB2 - Mumbai (GPX Mumbai 2),Mumbai,4211,7377,2023-06-14T11:58:35Z,2023-06-14T11:58:35Z
5326,STT Hyderabad 1,Hyderabad,4263,6781,2023-08-26T07:43:23Z,2023-08-26T07:43:23Z
5416,Extreme Laxminagar,Delhi,1323,14117,2023-11-10T15:22:23Z,2023-11-10T15:22:23Z
5417,Extreme RDC,Ghaziabad,1323,14116,2023-11-10T15:22:28Z,2023-11-10T15:22:28Z
5420,YOTTA D1,Greater Noida,1323,13846,2023-11-13T14:38:08Z,2023-11-13T14:38:08Z
5480,TATA Communications VSB Hyderabad,Hyderabad,4263,5236,2024-01-02T09:46:20Z,2024-01-02T09:46:20Z
5589,Sify Global Delivery Center (Hyderabad),Nanakaramguda,1785,9123,2024-02-02T14:56:16Z,2024-02-02T14:56:17Z
5633,Nxtra Data Chennai DC 2,Chennai,1786,13460,2024-03-09T06:25:48Z,2024-03-09T06:25:48Z
5669,STT Chennai 2,Chennai,1786,6779,2024-04-08T08:46:40Z,2024-04-08T08:46:40Z
5929,Digital Connexion MAA10 Chennai (Ambattur),Chennai,1786,14111,2024-07-26T13:12:59Z,2024-07-26T13:12:59Z
5938,AdaniConneX Chennai 1,Chennai,1786,13368,2024-07-31T10:20:14Z,2024-07-31T10:20:14Z
5956,Nxtra Data Chennai DC 1,Chennai,1786,2497,2024-08-09T12:21:20Z,2024-08-09T12:21:21Z
6475,NTT Noida DC2A,Greater Noida,1323,15364,2024-11-07T15:51:37Z,2024-11-07T15:51:38Z
6497,Nxtra Data Mumbai DC 3,Mumbai,1627,15540,2024-11-18T12:31:50Z,2024-11-18T12:31:51Z
6556,Sify Global Delivery Center (Hyderabad),Nanakaramguda,4263,9123,2024-12-11T09:09:19Z,2024-12-11T09:09:20Z
6694,Netmagic Bangalore DC03,Bangalore,3813,7989,2025-01-27T11:54:32Z,2025-01-27T11:54:32Z
6702,Ishan Technologies Mumbai DC1,"Mumbai,",832,15715,2025-01-29T11:47:09Z,2025-01-29T11:47:10Z
6902,CtrlS Mumbai DC2,Mumbai,832,9725,2025-03-24T11:17:29Z,2025-03-24T11:17:30Z
6946,STT Hyderabad 1,Hyderabad,1785,6781,2025-04-10T12:58:31Z,2025-04-10T12:58:31Z
6948,STT Delhi 2,Delhi,1323,6786,2025-04-10T13:06:33Z,2025-04-10T13:06:33Z
7000,TATA Communications GK1,New Delhi,4717,1982,2025-04-16T18:12:22Z,2025-04-16T18:12:22Z
7001,TATA Communications Delhi,New Delhi,4717,1622,2025-04-16T18:12:51Z,2025-04-16T18:12:51Z
7048,STT Delhi 1,Delhi,4717,6785,2025-04-28T08:57:24Z,2025-04-28T08:57:25Z
7049,STT Delhi 2,Delhi,4717,6786,2025-04-28T08:57:37Z,2025-04-28T08:57:37Z
7050,STT Delhi 3,Delhi,4717,6787,2025-04-28T08:57:44Z,2025-04-28T08:57:44Z
7051,Sify Greenfort - Noida,Noida,4717,2411,2025-04-28T08:58:32Z,2025-04-28T08:58:33Z
7085,STT Delhi 3,Delhi,1323,6787,2025-05-07T13:20:41Z,2025-05-07T13:20:42Z
7088,STT Mumbai 2,Mumbai,1627,6789,2025-05-08T06:35:23Z,2025-05-08T06:35:23Z
7089,STT Kolkata 1,Kolkata,2167,6780,2025-05-08T06:36:56Z,2025-05-08T06:36:56Z
7125,CtrlS Kolkata DC1,Kolkata,2167,14993,2025-06-03T09:17:59Z,2025-06-03T09:18:00Z
7202,Sify Airoli-DC- Mumbai,Mumbai,1627,2464,2025-07-24T07:20:14Z,2025-07-24T07:20:14Z
7238,CtrlS Chennai DC2,Chennai,1786,14355,2025-08-19T14:24:08Z,2025-08-19T14:24:09Z
7259,Equinix MB2 - Mumbai (GPX Mumbai 2),Mumbai,1623,7377,2025-09-04T13:35:52Z,2025-09-04T13:35:53Z
7314,Extreme Highway Tower,Pune,4805,16560,2025-10-21T05:31:53Z,2025-10-21T05:31:53Z
7315,Extreme Vega Center Swargate,Pune,4805,16569,2025-10-21T05:32:00Z,2025-10-21T05:32:00Z
7393,CtrlS Kolkata DC1,Kolkata,2589,14993,2025-12-16T15:38:04Z,2026-07-02T03:27:32Z
7394,CtrlS Hyderabad DC1,Hyderabad,4263,1256,2025-12-17T05:55:54Z,2025-12-17T05:55:54Z
7406,Iron Mountain Data Center - Mumbai (MUM-1),Navi Mumbai,832,13555,2025-12-30T05:43:03Z,2025-12-30T05:43:04Z
7425,Sify Vashi - Mumbai,Navi Mumbai,1627,2466,2026-01-16T06:09:52Z,2026-01-16T06:09:53Z
7478,Equinix MB1 - Mumbai (GPX Mumbai 1),Mumbai,4957,2310,2026-02-18T03:41:51Z,2026-03-23T01:46:39Z
7479,Equinix MB2 - Mumbai (GPX Mumbai 2),Mumbai,4957,7377,2026-02-18T03:41:57Z,2026-03-23T01:46:44Z
7480,TATA Communications Mumbai,Mumbai,4957,554,2026-02-18T03:42:15Z,2026-03-23T01:48:17Z
7481,Sify Airoli-DC- Mumbai,Mumbai,4957,2464,2026-02-18T03:43:35Z,2026-03-23T01:48:36Z
7482,Netmagic Chandivali - MUM-DC05,Mumbai,4957,4228,2026-02-18T03:44:12Z,2026-03-23T01:47:03Z
7486,CtrlS Mumbai DC1,Mumbai,4957,1259,2026-02-18T03:44:49Z,2026-03-23T01:47:48Z
7487,STT Mumbai 2,Mumbai,4957,6789,2026-02-18T03:45:12Z,2026-03-23T01:48:29Z
7523,AdaniConneX Chennai 1,Chennai,2588,13368,2026-02-27T08:50:12Z,2026-02-27T08:50:12Z
7546,CtrlS Chennai DC2,Chennai,2588,14355,2026-03-11T03:14:47Z,2026-03-11T03:14:48Z
7547,Sify Greenfort - Noida,Noida,4983,2411,2026-03-16T08:34:01Z,2026-03-16T08:34:01Z
7548,TATA Communications GK1,New Delhi,4983,1982,2026-03-16T08:34:11Z,2026-03-16T08:34:11Z
7549,TATA Communications Delhi,New Delhi,4983,1622,2026-03-16T08:34:23Z,2026-03-16T08:34:24Z
7550,STT Delhi 1,Delhi,4983,6785,2026-03-16T08:35:17Z,2026-03-16T08:35:17Z
7551,STT Delhi 2,Delhi,4983,6786,2026-03-16T08:35:27Z,2026-03-16T08:35:27Z
7552,STT Delhi 3,Delhi,4983,6787,2026-03-16T08:35:36Z,2026-03-16T08:35:36Z
7557,Web Werks Mumbai 1,Mumbai,4957,1771,2026-03-23T01:48:45Z,2026-03-23T01:48:45Z
7560,Nxtra Data Pune DC2,Pune,4805,16968,2026-03-24T08:16:23Z,2026-03-24T08:16:23Z
7612,Web Werks Mumbai 2,"Navi Mumbai,",832,13531,2026-04-08T08:17:36Z,2026-04-08T08:17:36Z
7613,NTT NAV01 Mahape,Navi Mumbai,832,13647,2026-04-08T08:19:36Z,2026-04-08T08:19:37Z
7614,Iron Mountain Data Center - Mumbai (MUM-2),Navi Mumbai,832,13556,2026-04-08T08:22:43Z,2026-04-08T08:22:43Z
7615,Nxtra Data Chennai DC 2,Chennai,2588,13460,2026-04-09T05:06:44Z,2026-04-09T05:06:44Z
