ix_id,ix_org_id,ix_name,ix_aka,ix_name_long,ix_city,ix_notes,ix_website,ix_url_stats,ix_tech_email,ix_tech_phone,ix_policy_email,ix_policy_phone,ix_sales_phone,ix_sales_email,ix_net_count,ix_fac_count,service_level,terms,ix_created,ix_updated
198,10649,NIXI Delhi,,National Internet eXchange of India,Delhi,,https://nixi.in/en/running-noc/delhi-noida,http://mrtg.nixi.in/mrtg-noida.html,info@nixi.in,+911148202000,,,,,115,11,Not Disclosed,Not Disclosed,2010-07-29T00:00:00Z,2024-04-03T06:56:58Z
224,10649,NIXI Mumbai,,National Internet Exchange of India,Mumbai,,https://ix.nixi.in/en/running-noc/mumbai2,http://mrtg.nixi.in/mrtg-mumbai.html,info@nixi.in,+911148202000,,,,,179,22,Not Disclosed,Not Disclosed,2010-07-29T00:00:00Z,2024-12-12T10:19:53Z
235,10649,NIXI Chennai,,National Internet eXchange of India,Chennai,,https://nixi.in/en/running-noc/chennai,http://mrtg.nixi.in/mrtg-chennai.html,info@nixi.in,+911148202000,,,,,57,7,Not Disclosed,Not Disclosed,2010-07-29T00:00:00Z,2020-01-24T09:08:31Z
598,10649,NIXI Hyderabad,,National Internet eXchange of India,Hyderabad,,https://nixi.in/en/running-noc/hyderabad,http://mrtg.nixi.in/mrtg-hyderabad.html,info@nixi.in,+911148202000,,,,,22,2,Not Disclosed,Not Disclosed,2012-07-27T00:00:00Z,2020-01-24T09:12:04Z
832,14750,DE-CIX Mumbai,DE-CIX BOM,,Mumbai,,https://www.de-cix.in/locations/de-cix-mumbai,,techsupport@de-cix.in,+917045951002,operations@de-cix.in,+919868477444,,,450,20,24/7 Support,Recurring Fees,2014-02-19T00:00:00Z,2022-03-03T07:40:46Z
1317,10649,NIXI Kolkata,,National Internet eXchange of India,Kolkata,,https://nixi.in/en/running-noc/kolkata,http://mrtg.nixi.in/mrtg-kolkata.html,info@nixi.in,+911148202000,,,,,29,2,Not Disclosed,Not Disclosed,2016-05-21T14:58:57Z,2022-09-06T08:53:40Z
1323,17920,Extreme IX Delhi,,ExtremeIX Delhi,Delhi,,https://extreme-ix.org/,https://extreme-ix.org/resources/traffic-stats,support@x3me.net,+911141236699,ix@x3me.net,,,sales@x3me.net,176,13,Not Disclosed,Not Disclosed,2016-05-27T20:49:28Z,2024-04-01T14:39:29Z
1577,15910,Kolkata IX,IIFON,India Internet Foundation,Kolkata,,http://iifon.org,,noc@iifon.org,+919831181998,peering@iifon.org,+919903992838,,peering@iifon.org,29,2,Best Effort (no SLA),Not Disclosed,2017-01-03T16:22:14Z,2024-06-28T13:07:16Z
1623,2634,AMS-IX Mumbai,,Amsterdam Internet Exchange Mumbai,Mumbai,"AMS-IX Mumbai - A collaboration between the India based Information and Communications Technology (ICT) service provider, Sify Technologies Limited and the European based AMS-IX.",https://ams-ix.in/,https://stats-mum.ams-ix.net/,noc@ams-ix.net,+914466800000,info@ams-ix.net,+31203058999,,,69,3,Not Disclosed,Not Disclosed,2017-02-07T09:14:28Z,2021-01-15T10:15:23Z
1627,17920,Extreme IX Mumbai,,ExtremeIX Mumbai,Mumbai,,https://extreme-ix.org/,https://extreme-ix.org/resources/traffic-stats,support@x3me.net,+911141236699,ix@x3me.net,,,sales@x3me.net,249,15,Not Disclosed,Not Disclosed,2017-02-08T10:06:51Z,2024-04-01T14:40:11Z
1689,10649,NIXI Bangalore,,,Bangalore,,https://nixi.in/en/running-noc/bangalore,http://mrtg.nixi.in/mrtg-banglore.html,info@nixi.in,,ix@nixi.in,,,,7,2,Not Disclosed,Not Disclosed,2017-04-04T10:59:53Z,2020-01-24T09:04:48Z
1690,10649,NIXI Ahmedabad,,NIXI Ahmedabad Internet Exchange,Ahmedabad,,https://nixi.in/en/running-noc/ahmedabad,http://mrtg.nixi.in/mrtg-ahmedabad.html,info@nixi.in,+911148202000,,,,,0,2,Not Disclosed,Not Disclosed,2017-04-04T11:00:30Z,2021-04-08T12:20:16Z
1785,17920,Extreme IX Hyderabad,,ExtremeIX Hyderabad,Hyderabad,We are available for accepting peering connections at TATA Communications DC in Hyderabad and soon in other locations.,https://extreme-ix.org/,https://extreme-ix.org/resources/traffic-stats,support@x3me.net,+911141236699,ix@x3me.net,,,sales@x3me.net,22,5,Not Disclosed,Not Disclosed,2017-06-22T12:00:33Z,2024-04-01T14:39:43Z
1786,17920,Extreme IX Chennai,,ExtremeIX Chennai,Chennai,,https://extreme-ix.org/,https://extreme-ix.org/resources/traffic-stats,support@x3me.net,+911141236699,ix@x3me.net,,,sales@x3me.net,93,10,Not Disclosed,Not Disclosed,2017-06-22T12:01:14Z,2024-04-01T14:39:19Z
2062,18786,Bharat IX - Mumbai,,Bharat Internet Exchange in Mumbai,Mumbai,"Update: Feb 2022

BharatIX has decided to shut down. We thank all our members for their support.",http://www.bharatix.net,,kamal@bharatix.net,+919891005390,,,,,2,0,Not Disclosed,Not Disclosed,2018-01-09T19:07:15Z,2022-02-24T20:04:11Z
2167,17920,Extreme IX Kolkata,,ExtremeIX Kolkata,Kolkata,,https://extreme-ix.org/,https://extreme-ix.org/resources/traffic-stats,support@x3me.net,+911141236699,ix@x3me.net,,,sales@x3me.net,25,2,Not Disclosed,Not Disclosed,2018-04-18T07:08:38Z,2024-04-01T14:40:03Z
2195,19960,Amaravati IX,,Amaravati IX,Amaravati,"A community run Internet Exchange Point in the state of Andhra Pradesh, India.",https://www.amr-ix.net,https://amr-ix.net/members/,noc@amr-ix.net,+919701997777,info@amr-ix.net,+919701997777,,,12,1,Not Disclosed,Not Disclosed,2018-05-17T16:11:45Z,2024-07-28T15:52:35Z
2210,13245,ANI-IX Delhi,,ANO Peering Exchange,Delhi,,http://ano-ix.org,,noc@anonet.in,,noc@anonet.in,,,,30,3,Not Disclosed,Not Disclosed,2018-05-24T16:57:40Z,2025-12-26T08:01:03Z
2251,19691,Remki Internet Exchange (RIX),,Remki Internet Exchange (RIX) - Remki IX,Guntur,"Andhra Pradesh #1 Peering Internet Exchange, known as Remki Internet Exchange ; Remki IX located in Guntur, Amaravati.",http://ix.remki.net,,noc@remki.net,+918636777777,announce@ix.remki.net,+917013103030,+918636777770,sales@ix.remki.net,1,1,Not Disclosed,Not Disclosed,2018-06-29T11:57:43Z,2021-11-18T10:15:03Z
2341,20866,REDIX Chennai,,REDIX Chennai,Chennai,,https://redix.org,https://manage.redix.org,tech@redix.org,+919940080888,tech@redix.org,+919940080888,,,2,2,Not Disclosed,Not Disclosed,2018-09-10T12:12:16Z,2020-01-22T04:24:07Z
2587,14750,DE-CIX Delhi,DE-CIX DEL,,Delhi,,https://www.de-cix.in/locations/de-cix-delhi,,techsupport@de-cix.in,+917045951002,operations@de-cix.in,+919868477444,,,104,10,24/7 Support,Recurring Fees,2019-05-14T14:20:32Z,2022-03-03T07:41:12Z
2588,14750,DE-CIX Chennai,DE-CIX MAA,,Chennai,,https://www.de-cix.in/locations/de-cix-chennai,,techsupport@de-cix.in,+917045951002,operations@de-cix.in,+919868477444,,,77,10,24/7 Support,Recurring Fees,2019-05-14T14:22:47Z,2022-03-03T07:42:18Z
2589,14750,DE-CIX Kolkata,DE-CIX CCU,,Kolkata,"For peering with the DE-CIX Kolkata route servers, please see:",https://www.de-cix.net/en/locations/india/kolkata,,techsupport@de-cix.in,+917045951002,operations@de-cix.in,+919868477444,,,18,3,24/7 Support,Recurring Fees,2019-05-14T14:25:01Z,2022-03-03T07:42:44Z
2812,10649,NIXI Guwahati,,,Guwahati,,https://nixi.in/en/running-noc/guwahati,http://mrtg.nixi.in/mrtg-guwahati.html,info@nixi.in,+911148202000,,,,,1,1,Not Disclosed,Not Disclosed,2020-01-27T07:38:09Z,2020-01-27T08:24:28Z
3232,26884,OpenSwitch-IX,,OpenSwitch-IX India's First IXP to offer tunnels,Kolkata,LANPath is a research community for network enthusiasts started by two university students. This is a not for profit research project. Do not expect a performance/benefits of a commercial IX. This IX was a hobby project and was decommissioned in early 2022 inspired by EVIX.,https://openswitchix.com,,connect@kalpak.net.in,+917059787415,connect@kalpak.net.in,+917059787415,,,9,0,Not Disclosed,Not Disclosed,2020-07-24T18:35:01Z,2023-12-21T21:28:32Z
3450,20073,IPNET-DELHI,,IPNET,Delhi,,http://www.ipnetbroadband.com,,name@example.com,,name@example.com,,,name@example.com,0,0,Not Disclosed,Not Disclosed,2021-02-26T14:53:00Z,2025-06-04T09:53:26Z
3463,24957,SP-iXP Mumbai,,Smart-Peering Internet eXchange,Mumbai,,http://sp-ixp.com/,http://sp-ixp.com/,noc@smartcyber.in,+916303948203,peering@smartcyber.in,,,,2,4,Not Disclosed,Not Disclosed,2021-03-13T07:33:13Z,2021-03-20T12:25:16Z
3675,14169,Insta-IX Delhi,INSTA-IX,,Delhi,,https://instalinks.in,,noc@instalinks.net,+919713135352,policy@instalinks.net,+917884006666,,,8,2,24/7 Support,No Commercial Terms,2021-11-09T06:03:22Z,2025-09-12T12:55:13Z
3682,20074,SURAJ IX,,Suraj Peering Exchange,Ghaziabad,,https://ix.surajnetwork.com/,,support@surajnetwork.com,+917065000928,,,,,1,0,Not Disclosed,Not Disclosed,2021-11-18T11:42:18Z,2021-11-20T02:46:48Z
3708,31608,X3M-IX,X3M-IX MUM,X3M Infra Pvt Ltd,Mumbai,x3minfra@gmail.com,https://ix.x3m.in,,x3minfra@gmail.com,+919755033333,admin@x3m.in,+919755033333,+919755033333,admin@x3m.in,6,1,24/7 Support,Bundled With Other Services,2022-01-19T10:44:43Z,2024-08-05T14:42:07Z
3774,2634,AMS-IX Kolkata,,Amsterdam Internet Exchange Kolkata,Kolkata,"AMS-IX Kolkata is a collaboration between the India based Information and Communications Technology (ICT) service provider, Sify Technologies Limited, and the European based AMS-IX.",https://www.ams-ix.net/kol,https://stats-kol.ams-ix.net/,noc@kol.ams-ix.net,+913366573248,info@ams-ix.net,+31203058999,,,6,2,Not Disclosed,Not Disclosed,2022-03-14T10:39:46Z,2022-03-14T12:56:25Z
3813,17920,Extreme IX Bangalore,,ExtremeIX Bangalore,Bangalore,,https://extreme-ix.org/,https://extreme-ix.org/resources/traffic-stats,support@x3me.net,+911141236699,ix@x3me.net,,+911141236699,,43,6,Not Disclosed,Not Disclosed,2022-05-19T07:32:54Z,2024-04-01T14:38:53Z
4007,2634,AMS-IX Hyderabad,,,Hyderabad,,https://www.ams-ix.net/hyd,https://stats-hyd.ams-ix.net/,noc@hyd.ams-ix.net,+913366573248,info@ams-ix.net,+31203058999,,,8,2,Not Disclosed,Not Disclosed,2022-10-13T13:16:17Z,2022-10-13T13:20:21Z
4133,30809,WSNL-IX,WSNL-IX,WSNL INTERNET EXCHANGE PRIVATE LIMITED,Mumbai,,https://wsnl-ix.in,,noc@wsnl-ix.in,+919264433761,nikhil@wsnl-ix.in,+917385851021,,,7,0,Not Disclosed,Not Disclosed,2023-03-27T11:12:44Z,2023-09-15T07:23:07Z
4211,2,Equinix Mumbai,,,Mumbai,,https://ix.equinix.com/,https://ix.equinix.com/home/locations-and-traffic/#traffic,smc@equinix.com,,peering-request@equinix.com,,,,25,2,24/7 Support,Recurring Fees,2023-06-14T10:53:15Z,2025-06-02T08:03:05Z
4263,14750,DE-CIX Hyderabad,DE-CIX HYD,,Hyderabad,,https://www.de-cix.in/,,techsupport@de-cix.in,+917045951002,operations@de-cix.in,+919868477444,,,14,4,24/7 Support,Recurring Fees,2023-08-25T11:35:59Z,2023-10-06T22:53:07Z
4717,40840,Fiblib Digital Networks,FIBLIB-IX,FIBLIB DIGITAL NETWORKS,New Delhi,,https://fiblib.com/,https://fiblib.com/,noc@fiblib.com,+911169952499,policy@fiblib.com,,+911169952500,sales@fiblib.com,4,6,24/7 Support,Recurring Fees,2025-04-16T04:15:14Z,2025-08-18T08:19:07Z
4805,17920,Extreme IX Pune,,Extreme IX Pune,Pune,,https://extreme-ix.org/,https://extreme-ix.org/resources/traffic-stats,support@x3me.net,+911141236699,ix@x3me.net,+911141236699,+911141236699,sales@x3me.net,11,3,Not Disclosed,Not Disclosed,2025-08-18T05:35:08Z,2025-08-25T09:08:57Z
4957,43398,MX-IX Mumbai,,,Mumbai,,https://www.mx-ix.com,https://www.mx-ix.com/#stats,support@mx-ix.com,,peering@mx-ix.com,,,sales@mx-ix.com,6,8,24/7 Support,Recurring Fees,2026-02-18T03:33:44Z,2026-03-23T02:57:11Z
4983,43398,MX-IX Delhi,,,Delhi,,https://www.mx-ix.com,https://www.mx-ix.com/#stats,support@mx-ix.com,,peering@mx-ix.com,,,sales@mx-ix.com,9,6,24/7 Support,Recurring Fees,2026-03-13T13:41:25Z,2026-03-23T04:04:10Z
5045,14750,DE-CIX Bengaluru,,,Bengaluru,,https://www.de-cix.in/de-cix-bengaluru/,,operation@de-cix.in,,,,,sales@de-cix.in,1,4,Not Disclosed,Not Disclosed,2026-06-30T07:48:37Z,2026-09-02T21:52:54Z
5079,43398,MX-IX Chennai,,,Chennai,,https://www.mx-ix.com/locations/chennai,https://www.mx-ix.com/stats,support@mx-ix.com,,peering@mx-ix.com,,,sales@mx-ix.com,0,3,24/7 Support,Recurring Fees,2026-08-18T15:45:19Z,2026-08-19T00:57:34Z
