fac_id,org_name,facility_name,fac_aka,address1,address2,city,state,zipcode,latitude,longitude,fac_website,fac_net_count,fac_ix_count,fac_carrier_count,sales_email,sales_phone,tech_email,tech_phone,property,voltage_services,last_updated,fac_notes
552,TATA Communications Ltd,TATA Communications Chennai,,"4th floor, 2nd block",,Chennai,TN,600002,,,http://www.tatacommunications.com,81,4,2,,,,,,,2025-09-26 00:00:00,
553,TATA Communications Ltd,TATA Communications Cochin,,Thrikkakara,Kakkanad,Cochin,KL,682030,,,http://www.tatacommunications.com,4,0,0,,,,,,,2025-09-26 00:00:00,
554,TATA Communications Ltd,TATA Communications Mumbai,,Kashinath Dhuru Marg,Prabahdevi,Mumbai,MH,400028,19.020332,72.83155,http://www.tatacommunications.com,86,2,1,,,,,,,2025-09-26 00:00:00,
698,Honesty Net Solutions (I) Pvt Ltd,HNS - IDC01,,A-2009 Station Plaza,Station Road Bhandup West,Mumbai,MH,400078,19.144661,72.937966,http://www.hns.net.in/,2,0,0,,,,,,,2025-09-26 00:00:00,
1005,Reliance Communications Limited,Reliance IDC-1,,"IDC-1, DAKC, Thane Belapur Road",Navi Mumbai,Mumbai,MS,400710,,,http://www.rcom.co.in,8,0,0,,,,,,,2025-09-26 00:00:00,
1006,Reliance Communications Limited,Reliance IDC-2,,"IDC-II, DAKC, Thane Belapur Road",Navi Mumbai,Navi Mumbai,MS,400710,,,http://www.rcom.co.in,4,0,0,,,,,,,2025-09-26 00:00:00,
1007,Reliance Communications Limited,Reliance IDC-3,,"IDC-III, DAKC, Thane Belapur Road",Navi Mumbai,Navi Mumbai,MS,400710,,,http://www.rcom.co.in,1,0,0,,,,,,,2025-09-26 00:00:00,
1008,Reliance Communications Limited,Reliance IDC-4,,"IDC-IV, DAKC, Thane Belapur Road",Navi Mumbai,Navi Mumbai,MS,400710,,,http://www.rcom.co.in,2,0,0,,,,,,,2025-09-26 00:00:00,
1013,Reliance Communications Limited,Reliance Chennai IDC,,"Reliance Communications Infrastructure Limited, Reliance House, No-6, Haddows Road, Nungambakkam, Chennai,  India - 600006",,Chennai,,,13.065477,80.248031,http://www.relianceidc.com/HTML/index.html,11,0,0,,,,,,,2025-09-26 00:00:00,
1014,Reliance Communications Limited,Reliance Hyderabad IDC,,"Relaince Communications Infrastructure Limited, Plot No-20, Hitec City Layout, Survay No 64, Madhapur, RR District, Hyderabad, I",,Hyderabad,AP,,,,http://www.relianceidc.com/HTML/index.html,1,0,0,,,,,,,2025-09-26 00:00:00,
