Location,Phone No,Address
Ludhina,9315186621,"RETICULE INFOTECH PVT.LTD SCO-18, FEROZGANDHI MARKET, LUDHIANA"
Mumbai-Equinix,9930989877,"NIXI C/o Equinix Data center (GPX-1)., Unit A - 001, Boomerang, Chandivali Farm Road, Near Oberoi Garden, Andheri East, Mumbai – 400 072"
Belgaum,8754808858,"OUTOFBOX NETWORKS PRIVATE LIMITED Fifth Floor, Oneness, 1st Cross, 1st Main, Sadashiv Nagar, Belagavi, Karnataka: 590001"
Kolkata,9898536464,"NIXI C/O STT, 1, Videsh Sanchar Bhavan, 18, CIT Rd, Ultadanga, Kolkata, West Bengal 700054"
Bangalore-SIFY,8754808858,"NIXI C/O SIFY, 3rd Floor, Cyber Park, 3rd Cross Rd, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560100 India"
Hyderabad-CTRLS,8754808858,"NIXI C/O CtrlS Datacenters Ltd,16 Software Units Layout, Madhapur (Hitech-City),Hyderabad – 500081, Telangana"
Ahmedabad,9898536464,"NIXI C/O GNFC- Code Solutions -A Division of GNFC Limited 301, GNFC Info Tower, Nr. Grand Bhagwati, S G Highway , Bodakdev, Ahmedabad - 380054 Gujarat India"
Guwahati,9898536464,"NIXI C/O AMTRON, Assam Electronics Development Corporation Ltd. Industrial Estate, Bamunimaidan, Guwahati-21, Assam"
Dehradun,9315186621,"STPI, IT-01 STPI incubation centre, Sahastradhara Rd, IT Park, Dehradun, Uttarakhand 248013"
Chennai-STT,8754808858,"NIXI C/O. STT, Videsh Sanchar Bhavan, No.4 , Swami Sivananda Salai Chennai, Tamil Nadu 600002"
Prayagraj,9315186621,"Sangam Place, Clive Rd, Vivek Vihar Colony, Civil Lines, Prayagraj, Uttar Pradesh 211001"
Kanpur,9315186621,"NIXI C/O STPI- &nbsp;UPSIDA Complex, A-1/4 , Lakhanpur, Kanpur - 208024 Uttar Pradesh"
Meerut,9315186621,"NIXI C/o SHREE BALAJI WIFI PVT LTD, J 19 Ganga Nagar Mawana Road Meerut 250001"
Gorakhpur,9315186621,"NIXI C/O One Broadband, 4th Floor, RKDK Building, Phase-2, Shahi Market, Cinema road, Gorakhpur-273001"
Varanasi,9315186621,"NetMatix Krishna Apartment, Dayal Tower, mahmoorganj, adarsh nagar, varanasi"
Agra,9315186621,"NIXI C/O U.P. Communication Services Pvt. Ltd., S-5, Block No.32, 2nd floor, In-front of LIC Building, Sanjay Place, Agra 282002"
Lucknow,9315186621,"Ctrls Datacenters Ltd, Unit No: 508&amp; 509, 5th Floor Urbanac Business Park,A-1, Vibhuti Khand Gomti Nagar Lucknow. U.P"
Surat,9898536464,"Ishan Netsol Pvt Ltd - Office No. 330/331, International Trade Center, Majura Gate, Ring Road, Surat"
Rajkot,9898536464,"Ishan Netsol Pvt Ltd - 315-316, Shivam Complex, Dr. Yagnik Road, Opp Jagnath Temple, Rajkot – 360001"
Vadodara,9898536464,"Ishan Netsol Pvt Ltd - 802-Sterling Centre, R.C Dutt Road, Alkapuri, Baroda - 390007"
Durgapur,9898536464,"STPI Durgapur- Address: G89W+78Q, Sahid Sukumar Banerjee Sarani, Opp to Spencers, Bidhannagar, Durgapur, West Bengal 713212"
Burdwan,9898536464,"Burdwan Railway Station Railtel O.F.C. HUT, Burdwan, West Bengal"
Jaipur,9930989877,"STPI, Plot No. IT – 21, IT Park, EPIP Sitapura, Jaipur, Rajasthan 302022"
Haldwani,9315186621,"AAA DC No.4 , Gaujjali Bichli , Nigam , Haldwani,Uttarakhand"
Agartala,9898536464,"CSC, IT Bhawan, ITI Road, Indranagar, Agartala, West Tripura - 799006."
Gurgaon,9315186621,"STPI, Electronic City, Phase IV, Udyog Vihar, Sector 18, Gurgaon, Haryana"
Indore,9930989877,"NIXI C/O STPI, MPSEDC, STPI Building, Electronic Complex, Atmaram Choudhary Marg, Near Readymade Complex, Opp. Sukhliya, Electronic Complex, Pardesipura, Indore, Madhya Pradesh 452010"
Srinagar,9315186621,"STPI, Rangreth, Srinagar, Jammu and Kashmir 190005"
Jodhpur,9930989877,"STPI, Plot No. CYB-I, Cyber Park, RIICO Heavy Industrial Area, Near Saras Dairy, Jodhpur-342003 Rajasthan"
Bhopal,9930989877,"STPI, Plot No C-11, IT Park, Near RGPV, New Jail Rd, Gandhi Nagar, Bhopal, Madhya Pradesh 462038"
Puducherry,8754808858,"Interjet India Private Limited, AR Plaza, 45 Feet Road, Balaji Nagar, Pondicherry - 605013"
Mangalore,8754808858,"Blueberry Hill, STPI, Haripadadavu Road, Derebail, Mangaluru, Karnataka 575008"
Goa - STPI,9930989877,"STPI DC 2nd Floor, Udyog Bhawan, Panaji, Goa-403001"
Gwalior,9315186621,"Airline Internet Data Centre Address:, Opp. Yadav Dharm Kanta, A.B. Road, Gwalior – 474004, Madhya Pradesh"
Shimla,9315186621,"CrystalClear Network Pvt. Ltd C/o Channel 9 Cable TV, Thakur Vatika, Near Hanuman Temple, Khalini, Shimla-171002"
